AL645608.1	AC084361.1
PERM1	AC092295.2
AL645608.8	ISG15
AL645608.2	AC005355.1
AL645608.2	ZFP92
AL645608.2	ACRV1
AL645608.2	AL138976.2
AL645608.2	RNASEH2A
AL645608.2	PRRG2
AGRN	ZFYVE19
AGRN	DRG2
AGRN	TBKBP1
SCNN1D	ASIC3
ACAP3	MIB2
ACAP3	COLGALT2
ACAP3	DBN1
ACAP3	CCHCR1
ACAP3	PDZD4
ACAP3	KIFC2
ACAP3	MED22
ACAP3	TPRN
ACAP3	BX255925.3
ACAP3	RPS6KA4
ACAP3	GRK2
ACAP3	INF2
ACAP3	AC005726.1
ACAP3	THOP1
ACAP3	PIAS4
ACAP3	SLC25A41
ACAP3	HDAC10
DVL1	PYGO2
AURKAIP1	ZMAT2
AURKAIP1	MAD2L1BP
MIB2	ATAD3B
MIB2	STK36
MIB2	LRRC24
MIB2	ZNF512B
MIB2	REXO1
MIB2	SBF1
SLC35E2B	THAP2
NADK	SPATA5L1
FAAP20	MLLT1
HES5	AL139246.5
HES5	C1orf61
HES5	VXN
HES5	SSPN
LINC00982	INPP1
LINC00982	PLEKHA5
LINC00982	HSF4
LINC00982	SCARF1
PRDM16	ARHGEF10L
PRDM16	AC103923.1
PRDM16	NOP14
PRDM16	PPP2R2C
PRDM16	AC114316.2
PRDM16	BLM
PRDM16	MIR193BHG
PRDM16	GREB1L
PRDM16	KIAA1755
LINC01134	AC069281.1
LINC01134	SYT3
CHD5	MLXIPL
CHD5	STX1A
CHD5	SCRT1
CHD5	FSD1
CHD5	CACNA1I
CHD5	TRPM2
GPR153	AC074117.1
GPR153	AC090826.1
GPR153	AC018413.1
GPR153	AL031666.1
GPR153	FAM71E1
GPR153	TMEM150B
GPR153	NOL12
AL031848.2	AC091982.1
UTS2	MLANA
UTS2	AL133551.1
PARK7	C9orf78
PARK7	PEBP1
PARK7	LSM4
ERRFI1	PIFO
ERRFI1	AGA
MIR34AHG	LINC01759
MIR34AHG	EDA2R
MIR34AHG	TNFRSF10B
MIR34AHG	DDB2
CTNNBIP1	PPP1R26-AS1
CTNNBIP1	CYP11A1
AL357140.1	AC074011.1
AL357140.1	TAF1L
AL357140.1	AC008770.1
AL357140.1	ZNF575
CASZ1	MTURN
TARDBP	PTGDS
TARDBP	CHURC1
ANGPTL7	ZNF142
ANGPTL7	NCAM1-AS1
AL031731.1	AC103855.3
FBXO2	FBXO44
FBXO2	ID3
FBXO2	DDX59
FBXO2	UPP2
FBXO2	SS18L2
FBXO2	TMEM14C
FBXO2	GPER1
FBXO2	AC022039.1
FBXO2	ALDH1A1
FBXO2	RNASEH2C
FBXO2	METTL7B
FBXO2	GCHFR
FBXO2	NOTUM
FBXO2	HOOK2
FBXO2	DPY19L3
FBXO2	AC243964.2
FBXO44	HYI
FBXO44	DDX60L
FBXO44	SLC9A3
FBXO44	MFSD3
FBXO44	RABGGTA
FBXO44	NARFL
FBXO44	RAB26
FBXO44	CENPT
FBXO44	C2CD4C
PLOD1	TRMO
PLOD1	AK1
PLOD1	CHAMP1
KAZN	NFASC
KAZN	ACTN2
KAZN	ALPK1
KAZN	SKAP2
KAZN	RHOBTB1
KAZN	SLC2A3
KAZN	ALPK3
KAZN	TMEM132E
KAZN	TMC6
CELA2B	AC002463.1
CELA2B	AP000842.2
SLC25A34-AS1	RBP7
SLC25A34-AS1	CYP4Z1
SLC25A34-AS1	CASP8
SLC25A34-AS1	AC012485.3
SLC25A34-AS1	AC098487.1
SLC25A34-AS1	L29074.1
SLC25A34-AS1	MPZL3
SLC25A34-AS1	NCKAP1L
SLC25A34-AS1	VWA8-AS1
SLC25A34-AS1	AC010761.2
SLC25A34-AS1	AC090125.1
HSPB7	AC106895.2
EPHA2	ADRB2
EPHA2	LINC00997
EPHA2	AL158151.3
EPHA2	SP2
AL451042.1	PGF
PADI2	CRTAP
PADI2	LINC01396
PADI2	AGFG2
PADI2	DDB2
PADI2	PDGFD
PADI2	ZBTB7C
PADI4	NOX1
RCC2	AL139424.2
RCC2	CPOX
RCC2	MYPOP
ARHGEF10L	AL139260.1
ARHGEF10L	USP1
ARHGEF10L	MAPKAPK2
ARHGEF10L	RBM43
ARHGEF10L	TMCO6
ARHGEF10L	MTHFD1L
ARHGEF10L	EEPD1
ARHGEF10L	SH2B2
ARHGEF10L	INPP5A
ARHGEF10L	DRAM1
ARHGEF10L	SCARB1
ARHGEF10L	AC026471.4
ARHGEF10L	MNT
ARHGEF10L	KIF1C
ARHGEF10L	GPI
PAX7	LINC01356
PAX7	APOB
PAX7	AC022498.1
PAX7	NPR3
PAX7	Z97206.2
PAX7	STEAP1
PAX7	DCAF8L2
PAX7	LTK
IFFO2	LINC01934
NBL1	ARRDC1
NBL1	DYRK1B
PLA2G2C	AC004969.1
UBXN10-AS1	HIST3H2A
UBXN10-AS1	AC007365.1
UBXN10-AS1	AC007613.1
LINC01141	BSPRY
FAM43B	PLCH2
FAM43B	FZD5
FAM43B	AEN
CDA	LIMS2
CDA	AC096759.1
CDA	AC090092.1
CDA	AC021504.1
CDA	AL157838.1
KIF17	PLAUR
SH2D5	MARCH4
SH2D5	TNFRSF21
ZBTB40	C14orf93
C1QC	C1QA
C1QC	C1QB
C1QC	HLA-DPA1
C1QB	AC008554.1
ASAP3	TRDN
ASAP3	AL161457.2
ASAP3	TMOD1
ASAP3	VAV2
ASAP3	TNKS1BP1
ASAP3	SLC7A6
ASAP3	TP53
ASAP3	FAM117A
ID3	BAMBI
MDS2	NOC3L
RPL11	COX7C
RPL11	RPS6
MYOM3	AL591806.3
MYOM3	BST1
MYOM3	ACOT12
MYOM3	AL031705.1
MYOM3	PYY
MYOM3	MEI1
GRHL3	MYOM3
GRHL3	AC093117.1
GRHL3	KIAA0040
GRHL3	WNT9A
GRHL3	ALKAL2
GRHL3	IL1RL2
GRHL3	GYPC
GRHL3	EPHA5-AS1
GRHL3	IRF5
GRHL3	AC136777.1
GRHL3	CLCF1
GRHL3	CH25H
GRHL3	MYOF
GRHL3	CPXM2
GRHL3	SOCS2
GRHL3	GAS2L3
GRHL3	FRY-AS1
GRHL3	FAM189A1
GRHL3	SLFN11
GRHL3	SERPINB8
GRHL3	CDH22
GRHL3	GDF15
GRHL3	ZNF582-AS1
CLIC4	CNN3
CLIC4	DEAF1
CLIC4	HNRNPF
CLIC4	GADD45B
AL031432.3	LIN28B-AS1
AL606491.1	AL512380.2
MAN1C1	SPSB1
MAN1C1	KAZN
MAN1C1	VWA5B1
MAN1C1	AL031280.1
MAN1C1	GBP2
MAN1C1	SLC30A10
MAN1C1	PXDN
MAN1C1	ADAMTS9-AS2
MAN1C1	MCUB
MAN1C1	MAP1B
MAN1C1	CD44
MAN1C1	FRMD8
MAN1C1	COL4A1
MAN1C1	IGDCC4
MAN1C1	LINC02177
MAN1C1	AC092140.2
MAN1C1	CHST6
MAN1C1	TIMP2
MAN1C1	LINC01727
MAN1C1	C3
MAN1C1	TPM4
AL031280.1	SELENON
AL031280.1	AL031056.1
AL020996.1	ARHGAP4
STMN1	AL669831.5
STMN1	TUBA4A
STMN1	NSG1
STMN1	PEG10
STMN1	PCSK1N
STMN1	ARMCX3
STMN1	CALM3
SH3BGRL3	PEA15
SH3BGRL3	CCDC121
SH3BGRL3	SOWAHA
SH3BGRL3	ADO
ZDHHC18	NEIL2
SFN	SPOCD1
SFN	GBP4
SFN	GPATCH4
SFN	HSPA6
SFN	MYBPH
SFN	AC100849.1
SFN	NANS
NUDC	ZFAND2A
NUDC	ZNF236-DT
TENT5B	BNIPL
AL590640.1	SULT1C2
AL590640.1	LINC01100
AL590640.1	DEFB131B
AL590640.1	PIWIL1
AL590640.1	ADGRG5
AL590640.1	LINC01664
AL590640.1	CHAF1B
AL590640.1	UMODL1
SYTL1	LINC01865
MAP3K6	DEXI
MAP3K6	LAMA5
GPR3	AL138881.1
FO393419.2	AL354989.1
IFI6	IFIT3
IFI6	IFIT1
AL445490.1	CR1
AL445490.1	TEC
THEMIS2	KCNQ1
THEMIS2	AURKA
XKR8	PIK3R3
ATP5IF1	PPCS
ATP5IF1	NAA38
LAPTM5	ANGPTL6
SDC3	DNAJB2
SDC3	ARF4-AS1
PEF1	MCM3
ADGRB2	RNF208
ADGRB2	JAG2
ADGRB2	PICK1
EIF3I	PEF1
MARCKSL1	VAMP3
MARCKSL1	PNRC2
MARCKSL1	TMEM54
MARCKSL1	IMP3
YARS	PGD
YARS	SESN2
YARS	DPP3
YARS	SLC7A5
A3GALT2	RAD51AP1
NCDN	CEP170B
NCDN	SCAF1
C1orf122	ACTR3C
C1orf122	POP5
C1orf122	FAM234A
C1orf122	AL049650.1
AL929472.2	EDARADD
AL929472.2	PEMT
AL354702.2	AL360219.1
AL354702.2	CYTOR
AL354702.2	LINC02551
AL354702.2	AC023510.1
AL354702.2	LINC01424
NDUFS5	AC105760.2
NDUFS5	PPIA
NDUFS5	B4GALNT1
NDUFS5	TMEM97
COL9A2	AP002812.2
AC098484.2	AL359881.3
TMEM269	CDH3
SLC2A1	FUT11
SLC2A1	ADSSL1
TIE1	MAS1
IPO13	LYPLA2
IPO13	RNF44
IPO13	SLC35C1
ATP6V0B	PJA1
ATP6V0B	TMEM35A
ATP6V0B	MZT1
ATP6V0B	ERVK3-1
SLC6A9	RUFY4
SLC6A9	GPRASP1
SLC6A9	FAM222A
SLC6A9	LINC00926
SLC6A9	THAP8
ARMH1	LINC01725
ARMH1	FER1L5
ARMH1	GCC2-AS1
ARMH1	FZD7
ARMH1	COLQ
ARMH1	DNAH1
ARMH1	CD38
ARMH1	AC009126.1
ARMH1	FBXO24
ARMH1	RANBP6
ARMH1	AP003049.2
ARMH1	AP002444.1
ARMH1	AC138123.1
ARMH1	N4BP2L1
ARMH1	PATL2
ARMH1	FBN1
ARMH1	FAM81A
ARMH1	AC007220.1
ARMH1	AC009148.1
ARMH1	DNAAF1
ARMH1	C16orf95
ARMH1	ADAP2
ARMH1	MAPT-AS1
ARMH1	PRAM1
ARMH1	AC008537.1
RPS8	NUDT1
UROD	RELL2
UROD	NAPRT
HPDL	AC079848.1
PRDX1	PEX10
PRDX1	SF3B6
PRDX1	SPCS1
PRDX1	PSAP
PRDX1	LDHB
PRDX1	DAD1
PRDX1	SRP14
AL358075.4	LRRC36
EFCAB14-AS1	GSN-AS1
AGBL4	FLG-AS1
AGBL4	PCNX2
AGBL4	UNC80
AGBL4	PARP14
AGBL4	MLF1
AGBL4	ZBBX
AGBL4	STXBP5-AS1
AGBL4	VPS37D
AGBL4	XKR6
AGBL4	AC027031.2
AGBL4	TONSL
AGBL4	AL035078.4
AGBL4	AL360181.3
AGBL4	FAM19A2
