AGRN	MAP4K2
SCNN1D	AL159169.2
SCNN1D	LAT
SCNN1D	NCAPH2
ACAP3	RAPGEF3
ACAP3	CLUH
DVL1	THOP1
AURKAIP1	S100A16
AURKAIP1	C6orf47
AURKAIP1	SNRPC
AURKAIP1	SURF2
AURKAIP1	SIVA1
AURKAIP1	STUB1
AURKAIP1	TSR3
AURKAIP1	TUFM
AURKAIP1	TIMM13
AURKAIP1	PAF1
AURKAIP1	ZNF428
TMEM88B	AL022069.1
ATAD3C	ZNF883
ATAD3C	WFIKKN1
ATAD3C	C5AR1
MIB2	TUBGCP6
CDK11B	CDK11A
CDK11B	CNRIP1
PRKCZ	KYAT1
PRKCZ	EPB41L1
PANK4	TRAF7
AL589702.1	AL122034.1
AL589702.1	TMEM229B
LINC01134	AC019118.2
NPHP4	KLKB1
NPHP4	BMP2
CHD5	LINC01106
CHD5	UPP1
CHD5	SRRM3
CHD5	ADGRB1
CHD5	KCNH3
CHD5	MIR9-3HG
TNFRSF25	LINC00599
NOL9	ACBD3
KLHL21	GPATCH11
KLHL21	TMED7-TICAM2
KLHL21	AC244517.10
KLHL21	TRIM8
KLHL21	FAM19A2
KLHL21	IRS2
KLHL21	SIRT7
AL512330.1	LAMB1
AL512330.1	ZBTB7A
AL359881.1	AL359881.3
VAMP3	TLN1
PER3	PER2
ERRFI1	PMP2
AL096855.1	AC068831.7
MIR34AHG	LINC01759
LINC01759	FAS
SPSB1	ZMIZ1
CTNNBIP1	BCORL1
CTNNBIP1	AL138820.1
CTNNBIP1	MOB3A
AL139424.2	CS
TARDBP	ZNF506
TARDBP	SPECC1L
FBXO2	AC046136.1
FBXO2	ZNF219
FBXO2	PGP
FBXO44	SNHG12
MAD2L2	AGTRAP
TNFRSF1B	SLCO2B1
KAZN	PTPRM
TMEM51-AS1	AL355987.3
AL450998.2	LINC00909
SPEN	FABP3
SPEN	RIT1
SPEN	VAMP5
SPEN	LSMEM2
SPEN	HDAC3
SPEN	PCMTD2
SPEN	TMEM160
NECAP2	CYB5A
BX284668.5	TOMM40L
PADI2	GRIA3
PADI2	HHIPL1
PADI4	AC034243.1
PADI4	AKR1D1
PADI4	AMOT
PADI4	RASSF7
PAX7	ERVK-28
FAM43B	GPR85
HP1BP3	CLK1
HP1BP3	PPIL3
HP1BP3	AL391807.1
HP1BP3	AC007406.4
HP1BP3	AC087239.1
HP1BP3	AC068888.1
HP1BP3	LINC02320
HP1BP3	TMEM220-AS1
HP1BP3	QRICH2
HP1BP3	GSS
HP1BP3	AL031587.1
NBPF3	NBPF1
NBPF3	AC240274.1
ZBTB40	PDE6D
ZBTB40	TSNARE1
ZBTB40	NCOA5
ZBTB40	AC008543.1
C1QA	C1QB
C1QA	CD14
C1QA	TNFRSF1A
C1QC	C1QA
C1QC	HLA-DPA1
C1QC	AC068473.1
C1QB	CD74
C1QB	HLA-DRA
C1QB	CYBA
EPHB2	NCK2
EPHB2	RAI14
EPHB2	PI16
AL031428.1	RP1L1
RPL11	SSB
RPL11	MRPL11
RPL11	ORMDL2
RPL11	TXNRD1
RPL11	RPL6
RPL11	TPT1
RPL11	DAD1
RPL11	SNHG21
RPL11	FAM96B
RPL11	RANBP10
RPL11	SAT2
RPL11	AC011468.5
PITHD1	SUMO3
SYF2	AC021351.1
RHCE	PATL2
RHCE	AC010504.1
AL606491.1	MMAA
AL606491.1	ARHGEF6
AL033528.2	DCTD
STMN1	NUDT8
STMN1	PEBP1
STMN1	AC004812.2
STMN1	VPS4A
STMN1	C1QBP
ZNF593	ZNF567
SH3BGRL3	APLP1
HMGN2	SLC35F3
HMGN2	HAVCR2
HMGN2	LRGUK
HMGN2	TRMT2B
HMGN2	GSTO1
HMGN2	SPX
HMGN2	PABPC1L
HMGN2	LDLR
RPS6KA1	ARHGEF40
NUDC	NEIL2
NUDC	SNRPF
AL445490.1	DGKQ
AL445490.1	AC016687.3
AL445490.1	LINC02476
AL445490.1	MMP26
AL445490.1	AP003306.1
AL445490.1	ASAH2B
AL445490.1	HKDC1
AL445490.1	VDR
AL445490.1	AC079313.2
AL445490.1	C12orf42
AL445490.1	STON2
AL445490.1	MYOCD
AL445490.1	PODNL1
AL445490.1	ZNF667
PTAFR	ASZ1
ATP5IF1	UQCRHL
ATP5IF1	CDO1
ATP5IF1	CKB
ATP5IF1	BLVRB
EPB41	STIM1
AL645944.2	AC098820.3
FABP3	AL451070.1
PTP4A2	DNALI1
PTP4A2	SMPD2
PTP4A2	GJC3
PTP4A2	LINC02361
PTP4A2	USPL1
PTP4A2	AC092115.3
PTP4A2	SMARCE1
PTP4A2	PNPO
PTP4A2	TBCD
PTP4A2	ZIK1
MARCKSL1	STMN4
TSSK3	AC010969.2
