AGRN	PLEC
ACAP3	AGRN
ACAP3	SCNN1D
ACAP3	GBA
ACAP3	AC010890.1
ACAP3	RTP5
ACAP3	NAT8L
ACAP3	PSTPIP1
ACAP3	AATK
ACAP3	MEGF8
ACAP3	ERCC2
ACAP3	DMPK
CPTP	SLC10A3
AURKAIP1	MORN2
VWA1	ZNF598
ATAD3B	RECQL5
AL590822.2	AMPD3
FAAP20	PIGQ
HES5	PDLIM3
AJAP1	ATOH8
AJAP1	LINC02107
AJAP1	NAT16
AJAP1	LRP5
AJAP1	AFAP1L2
AJAP1	ALG1
AJAP1	BCAR1
AJAP1	ZNF469
CHD5	LINC01106
AL031848.2	AC072039.2
AL031848.2	AC008592.4
ESPN	AL121652.1
PER3	PER2
AL034417.3	AC024592.3
AL034417.3	CKM
ENO1	SMIM3
ENO1-AS1	AL512328.1
ENO1-AS1	AC024560.3
ENO1-AS1	AC108067.1
ENO1-AS1	AC004069.1
ENO1-AS1	RGS14
ENO1-AS1	LY6G5B
ENO1-AS1	CACNA1F
ENO1-AS1	AC022762.2
ENO1-AS1	AC009509.4
CA6	LINC00538
CA6	RHOH
CA6	AC073957.3
CA6	ARSH
CA6	HNRNPUL2-BSCL2
CA6	CDCA3
CA6	AL121594.1
CA6	AC005544.1
CA6	AC020915.5
MIR34AHG	MOCS2
MIR34AHG	DDB2
MIR34AHG	COL4A2
TARDBP	ZNF506
AL031291.1	ZNF211
FBXO2	SLC16A11
MAD2L2	LRGUK
C1orf167	Z84488.2
C1orf167	TMEM225B
C1orf167	MEIG1
TNFRSF1B	AC007370.1
TNFRSF1B	LINC01992
TNFRSF1B	LINC00904
DHRS3	POLR3C
AL450998.2	AKR1E2
EPHA2	FAM98C
PADI2	PLEKHG3
PADI4	EDN1
PADI4	C10orf142
PADI4	PPP1R36
PADI4	LRRC57
PAX7	LRRC8C-DT
AL080251.1	AC073111.3
CAMK2N1	ZNF335
DDOST	EAF1
RAP1GAP	PLEKHG5
RAP1GAP	TMEM130
RAP1GAP	GPC2
RAP1GAP	HTR2C
RAP1GAP	POLL
C1QA	C1QB
C1QA	CTXN3
C1QA	HLA-DRA
C1QA	SLCO1C1
ASAP3	TCEA3
ID3	AL592148.3
ID3	AC012065.4
ID3	FAM228A
ID3	MCM2
ID3	KLB
ID3	EMCN
ID3	TRIM60
ID3	AC010132.4
ID3	FLNC-AS1
ID3	AC060234.1
ID3	FOXJ2
ID3	AC006581.1
ID3	TAC3
ID3	AC125603.2
ID3	NIPA2
ID3	AC020917.2
ID3	CENPM
IFNLR1	GJB1
IFNLR1	UPB1
GRHL3	AL138902.1
GRHL3	GYPA
GRHL3	AP003438.1
CLIC4	YBX3
CLIC4	CRY1
STMN1	CHMP3
STMN1	BEX1
STMN1	LY6E
STMN1	DOLK
SLC30A2	AC010425.1
SLC30A2	AC023024.1
FAM110D	PPP1R1B
SH3BGRL3	ZNF672
SH3BGRL3	C9orf78
SH3BGRL3	TINF2
SH3BGRL3	MSRB1
DHDDS	URB2
IFI6	ISG15
IFI6	HERC6
IFI6	IFIT3
IFI6	IFIT1
IFI6	OAS1
IFI6	ATF5
IFI6	USP18
THEMIS2	ELK4
PTAFR	CCDC110
PTAFR	AC006116.8
ATP5IF1	IGSF8
ATP5IF1	TMEM128
ATP5IF1	MRPL2
ATP5IF1	CNPY4
ATP5IF1	HMOX2
AL357500.1	AC124312.3
AL357500.1	KF456478.1
ZCCHC17	AL136115.2
ZCCHC17	GOLPH3L
ZCCHC17	AL365259.1
ZCCHC17	RFX3-AS1
ZCCHC17	AC069209.1
SERINC2	MR1
SERINC2	MAS1
SERINC2	AL161935.1
LCK	FO704657.1
LCK	LINC01141
LCK	IFI44L
LCK	AC104836.1
LCK	ABCA4
LCK	AC114485.1
LCK	TSPAN2
LCK	TENT5C
LCK	FAM72B
LCK	HJV
LCK	C2CD4D
LCK	AL583804.1
LCK	DTL
LCK	LINC01744
LCK	RBM34
LCK	AC104794.2
LCK	AC018467.1
LCK	NEURL3
LCK	EDAR
LCK	LINC01191
LCK	AMER3
LCK	MPP4
LCK	GPR1
LCK	AC012668.3
LCK	AC104184.1
LCK	AC006058.3
LCK	LINC02027
LCK	MUC13
LCK	ACAD11
LCK	AC078788.1
LCK	AC068985.1
LCK	SPATA16
LCK	LINC02015
LCK	KLHL6
LCK	LINC01840
LCK	CYTL1
LCK	AC017091.1
LCK	AC116049.2
LCK	NPFFR2
LCK	PLAC8
LCK	AC004704.1
LCK	TDO2
LCK	AC020551.1
LCK	LINC00290
LCK	ADAMTS12
LCK	AC010359.1
LCK	F2R
LCK	AC010230.1
LCK	AC005592.1
LCK	CCDC69
LCK	FGFR4
LCK	AC008443.6
LCK	POU5F1
LCK	ATP6V1G2-DDX39B
LCK	CYP21A2
LCK	DDX43
LCK	LINC01268
LCK	ELFN1
LCK	AC237221.1
LCK	AC000058.1
LCK	MUC12
LCK	FLNC
LCK	SMKR1
LCK	AC091736.1
LCK	XG
LCK	PLP2
LCK	FRMPD3-AS1
LCK	SOX7
LCK	AC090809.1
LCK	SDR16C5
LCK	AC034114.2
LCK	AC060765.1
LCK	GRHL2
LCK	NOV
LCK	AC016405.3
LCK	CASC11
LCK	SPAAR
LCK	C9orf152
LCK	ZBTB26
LCK	AL157935.2
LCK	AL592211.1
LCK	AL353803.2
LCK	C9orf116
LCK	AP006621.4
LCK	HPX
LCK	ZNF215
LCK	AC044810.3
LCK	AC027779.1
LCK	LDHAL6A
LCK	AC009652.2
LCK	AL078612.1
LCK	AC022796.1
LCK	AC021006.2
LCK	CD5
LCK	SCGB1A1
LCK	MAJIN
LCK	ARL2-SNX15
LCK	THRSP
LCK	AP003066.1
LCK	PGR
LCK	AP002989.1
LCK	AP003390.1
LCK	POU2F3
LCK	SPA17
LCK	AL391427.1
LCK	CABCOCO1
LCK	AC073176.3
LCK	SH2D4B
LCK	AL121929.2
LCK	AC010998.1
LCK	BTBD16
LCK	CPXM2
LCK	NOP2
LCK	CLEC2A
LCK	OVCH1
LCK	MUC19
LCK	AC079313.2
LCK	LLPH-DT
LCK	SDS
LCK	TMEM233
LCK	AL136439.1
LCK	CSNK1A1L
LCK	AL512506.3
LCK	SLC25A30-AS1
LCK	LINC01068
LCK	PCK2
LCK	LINC02327
LCK	C14orf39
LCK	ISM2
LCK	AC093334.1
LCK	ITGA11
LCK	NPW
LCK	AC008915.2
LCK	MT4
LCK	AC009107.1
LCK	CA7
LCK	KCTD19
LCK	VMO1
LCK	ADORA2B
LCK	LINC02086
LCK	CA4
LCK	AP005901.2
LCK	AC103987.2
LCK	RAD21L1
LCK	AL121890.5
LCK	CASC20
LCK	ZNF341-AS1
LCK	AL035420.1
LCK	SLPI
LCK	RBPJL
LCK	AL157838.1
LCK	AL109955.1
LCK	LINC01749
LCK	UCKL1-AS1
LCK	CCL25
LCK	OR7D2
LCK	ICAM1
LCK	GDF15
LCK	ZNF571-AS1
LCK	ACP7
LCK	AC092301.1
LCK	DHDH
LCK	A1BG
LCK	AP000265.1
LCK	DSCR9
LCK	AP001062.1
LCK	COL6A2
MARCKSL1	MANEAL
MARCKSL1	ADI1
MARCKSL1	ANKRD30BL
MARCKSL1	RWDD2A
MARCKSL1	ASF1A
MARCKSL1	SRI
MARCKSL1	FAM3A
MARCKSL1	VBP1
MARCKSL1	MAF1
MARCKSL1	ENHO
MARCKSL1	CD81
MARCKSL1	INTS5
MARCKSL1	CFL1
MARCKSL1	BANF1
MARCKSL1	LAMTOR1
MARCKSL1	CMTM5
MARCKSL1	NUDT16L1
MARCKSL1	DEXI
MARCKSL1	SLC25A11
MARCKSL1	CNP
MARCKSL1	VPS25
MARCKSL1	ISOC2
MARCKSL1	ZNF524
MARCKSL1	TXN2
SYNC	TMEM246-AS1
SYNC	NRG4
SYNC	LENG8
YARS	GPRIN3
AL020995.1	ZNF256
TRIM62	SPRY4
TRIM62	AC008742.1
AL513327.1	FASTKD2
AL513327.1	TCF7
AL513327.1	AL133227.1
SFPQ	ABCB10
SFPQ	TRAF3IP1
SFPQ	FAIM
SFPQ	AC016933.1
SFPQ	SKIL
SFPQ	SNX18
SFPQ	ZNF777
SFPQ	ZNF75D
SFPQ	MAP6
SFPQ	ZNF202
SFPQ	MSANTD2
SFPQ	GDF11
SFPQ	GSKIP
SFPQ	AVEN
SFPQ	EFL1
SFPQ	KAT14
SFPQ	NCOA5
SFPQ	ZC3H4
SFPQ	ZNF154
AGO1	NUP35
AGO1	ALG11
LSM10	LINC01238
LSM10	PALB2
C1orf122	LYSMD3
C1orf122	FAM181B
C1orf122	UBE2S
MYCBP	LINC01031
MYCBP	AC105760.2
MYCBP	AP001033.1
NDUFS5	TMSB10
NDUFS5	TOMM7
NDUFS5	PPIA
NDUFS5	AC087239.1
NDUFS5	COX7A1
AL033527.4	TNFRSF8
AL033527.4	IL1R1
AL033527.4	MICA
AL033527.4	CECR3
MYCL	AC008429.3
MYCL	AC092070.4
PPT1	SRSF8
COL9A2	COL9A3
AL031289.1	KCNQ4
AC098484.2	SPATA45
AC098484.2	NLRP3
TMEM125	KLK6
MED8	GPX7
KDM4A-AS1	AC004130.1
AL357079.1	SPATA33
IPO13	MSL3
ATP6V0B	SCAMP3
ATP6V0B	RASL11B
