node_order	source_symbol
0	LINC00115
1	FAM41C
2	SAMD11
3	NOC2L
4	KLHL17
5	PERM1
6	HES4
7	ISG15
8	AGRN
9	TNFRSF4
10	B3GALT6
11	C1QTNF12
12	LINC01786
13	SCNN1D
14	PUSL1
15	INTS11
16	CPTP
17	MXRA8
18	AURKAIP1
19	MRPL20-AS1
20	ANKRD65
21	VWA1
22	ATAD3C
23	ATAD3B
24	TMEM240
25	FNDC10
26	MMP23B
27	CDK11B
28	SLC35E2B
29	CDK11A
30	SLC35E2A
31	CFAP74
32	GABRD
33	PRKCZ
34	MORN1
35	PEX10
36	PLCH2
37	PANK4
38	TNFRSF14-AS1
39	PRXL2B
40	TTC34
41	PRDM16-DT
42	PRDM16
43	ARHGEF16
44	MEGF6
45	WRAP73
46	SMIM1
47	LRRC47
48	C1orf174
49	LINC01134
50	AJAP1
51	CHD5
52	RNF207
53	GPR153
54	ACOT7
55	TNFRSF25
56	PLEKHG5
57	ZBTB48
58	KLHL21
59	PHF13
60	THAP3
61	CAMTA1-DT
62	AL512330.1
63	ERRFI1
64	SLC45A1
65	RERE-AS1
66	SLC2A5
67	GPR157
68	LNCTAM34A
69	SPSB1
70	TMEM201
71	PIK3CD
72	PIK3CD-AS2
73	RBP7
74	PGD
75	CENPS
76	CORT
77	CASZ1
78	MASP2
79	SRM
80	MTOR-AS1
81	ANGPTL7
82	UBIAD1
83	DISP3
84	FBXO2
85	FBXO44
86	FBXO6
87	MAD2L2
88	DRAXIN
89	AGTRAP
90	C1orf167
91	NPPA
92	KIAA2013
93	MIIP
94	TNFRSF8
95	DHRS3
96	LRRC38
97	PDPN
98	KAZN-AS1
99	TMEM51-AS1
100	TMEM51
101	C1orf195
102	FHAD1
103	CELA2B
104	CASP9
105	AGMAT
106	SLC25A34
107	FBLIM1
108	UQCRHL
109	SRARP
110	HSPB7
111	FAM131C
112	EPHA2
113	ARHGEF19
114	CPLANE2
115	SPATA21
116	LINC01772
117	NBPF1
118	MFAP2
119	PADI2
120	IGSF21
121	ALDH4A1
122	EMC1-AS1
123	MRTO4
124	AKR7A3
125	AKR7A2
126	SLC66A1
127	OTUD3
128	PLA2G5
129	LINC01141
130	MUL1
131	FAM43B
132	CDA
133	PINK1-AS
134	KIF17
135	SH2D5
136	NBPF3
137	ALPL
138	RAP1GAP
139	HSPG2
140	LINC00339
141	CDC42-AS1
142	CDC42-IT1
143	WNT4
144	C1QA
145	C1QC
146	C1QB
147	EPHB2
148	ZNF436
149	ZNF436-AS1
150	TCEA3
151	ASAP3
152	ID3
153	MDS2
154	LYPLA2
155	GALE
156	FUCA1
157	IFNLR1
158	STPG1
159	NIPAL3
160	RCAN3
161	RUNX3
162	RHD
163	RHCE
164	AUNIP
165	PAQR7
166	STMN1
167	PAFAH2
168	EXTL1
169	PDIK1L
170	FAM110D
171	ZNF593
172	CNKSR1
173	CEP85
174	SH3BGRL3
175	UBXN11
176	RPS6KA1
177	PIGV
178	GPATCH3
179	TRNP1
180	TMEM222
181	SYTL1
182	MAP3K6
183	FCN3
184	FGR
185	IFI6
186	FAM76A
187	PPP1R8
188	THEMIS2
189	XKR8
190	PTAFR
191	ATP5IF1
192	SESN2
193	MED18
194	RCC1
195	SNHG3
196	SNHG12
197	LINC01715
198	OPRD1
199	TMEM200B
200	PTPRU
201	MATN1-AS1
202	LAPTM5
203	NKAIN1
204	FABP3
205	SERINC2
206	TINAGL1
207	PEF1
208	COL16A1
209	ADGRB2
210	SPOCD1
211	TMEM39B
212	CCDC28B
213	IQCC
214	DCDC2B
215	TMEM234
216	FAM167B
217	MARCKSL1
218	TSSK3
219	FAM229A
220	ZBTB8B
221	KIAA1522
222	YARS
223	FNDC5
224	HPCA
225	TMEM54
226	AZIN2
227	A3GALT2
228	ZSCAN20
229	CSMD2
230	GJA4
231	DLGAP3
232	ZMYM4-AS1
233	TFAP2E
234	C1orf216
235	CLSPN
236	ADPRHL2
237	COL8A2
238	MAP7D1
239	EVA1B
240	LSM10
241	OSCP1
242	MRPS15
243	CSF3R
244	GRIK3
245	LINC01137
246	ZC3H12A
247	SNIP1
248	DNALI1
249	C1orf109
250	CDCA8
251	EPHA10
252	MANEAL
253	YRDC
254	C1orf122
255	MTF1
256	POU3F1
257	MIR3659HG
258	MYCBP
259	GJA9
260	RHBDL2
261	BMP8A
262	PABPC4
263	PABPC4-AS1
264	HEYL
265	HPCAL4
266	BMP8B
267	OXCT2
268	MFSD2A
269	COL9A2
270	ZFP69B
271	ZFP69
272	EXO5
273	ZNF684
274	RIMS3
275	NFYC-AS1
276	KCNQ4
277	CITED4
278	CTPS1
279	SLFNL1-AS1
280	SLFNL1
281	FOXO6
282	RIMKLA
283	ZMYND12
284	PPCS
285	C1orf50
286	TMEM269
287	SVBP
288	ERMAP
289	ZNF691
290	SLC2A1
291	SLC2A1-AS1
292	EBNA1BP2
293	CFAP57
294	TIE1
295	MED8
296	HYI-AS1
297	KDM4A-AS1
298	AL357079.1
299	IPO13
300	DPH2
301	B4GALT2
302	CCDC24
303	SLC6A9
304	DMAP1
305	RNF220
306	TMEM53
307	ARMH1
308	KIF2C
309	PLK3
310	BTBD19
311	PTCH2
312	HECTD3
313	UROD
314	MUTYH
315	TOE1
316	CCDC163
317	MMACHC
318	PRDX1
319	CCDC17
320	TMEM69
321	IPP
322	PIK3R3
323	TSPAN1
324	POMGNT1
325	LURAP1
326	RAD54L
327	FAAH
328	MKNK1-AS1
329	MOB3C
330	EFCAB14-AS1
331	CYP4B1
332	CYP4Z1
333	CYP4A22-AS1
334	TAL1
335	STIL
336	LINC01389
337	FOXD2-AS1
338	FOXD2
339	TRABD2B
340	SLC5A9
341	AGBL4
342	BEND5
343	CDKN2C
344	LINC01562
345	TTC39A
346	RAB3B
347	KTI12
348	CC2D1B
349	ORC1
350	GPX7
351	SHISAL2A
352	COA7
353	ZYG11A
