schema_version	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	circle_displayed	circle_display_rank	within_case_rank	evidence_tier	eligible_run_count	usable_run_count	missing_run_count	coverage_fraction	conservative_support_count	recurrence_fraction	supporting_fine_cell_type_count	supporting_fine_cell_types	supporting_group_count	supporting_groups	supporting_direction_count	supporting_directions	median_support_fold_enrichment	maximum_support_fold_enrichment	aggregate_acat_p	aggregate_acat_q	negative_log10_aggregate_acat_q	capped_negative_log10_aggregate_acat_q	missing_as_one_acat_p	missing_as_one_acat_q	stability_assessable_repetitions	stability_nominal_fraction	stability_q_fraction	stability_candidate_fraction	stability_worst_rank	stability_assessable	out_degree	undirected_degree	requested_degree_matched_draws	completed_degree_matched_draws	degree_matched_empirical_tail_p	negative_log10_degree_matched_empirical_tail_p	degree_sensitivity_blocking_gate	degree_diagnostic_complete	is_core_mito	extended_reference_member
phase18_case3_evidence_atlas_v1_gene_network_details_v1	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	TRUE	1	1	tier1_recurrent_stable	21	20	1	0.95238095238095233	3	0.14999999999999999	2	Ast CHI3L1|Ast GRM3	3	F_e2|M_e2|M_e4	2	AD_down_mito|AD_up_mito	30.719999999999999	33.520000000000003	1.7776559635829543e-08	2.20464892603558e-05	4.6566605588603878	4.6566605588603878	1.8665387654938577e-08	2.314881376965482e-05	3	1	0.66666666666666663	0.66666666666666663	1	TRUE	3	4	100	100	0.0099009900990099011	2.0043213737826426	FALSE	TRUE	FALSE	FALSE
phase18_case3_evidence_atlas_v1_gene_network_details_v1	case3_not_core_mito	1	RPL11	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	1	1	tier1_recurrent_stable	97	97	0	1	20	0.20618556701030927	11	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 THEMIS NFIA|Exc NRGN|Exc RELN CHD7	5	F_e2|F_e33|F_e4|M_e2|M_e33	2	AD_down_mito|AD_up_mito	9.0600000000000005	22.030000000000001	6.5033221877467929e-13	2.0062748949198854e-09	8.6976095612620163	8.6976095612620163	6.5033221877467929e-13	2.0062748949198854e-09	14	1	1	1	1	TRUE	9	9	100	100	0.0099009900990099011	2.0043213737826426	FALSE	TRUE	FALSE	FALSE
phase18_case3_evidence_atlas_v1_gene_network_details_v1	case3_not_core_mito	1	RPL11	4	Microglia	Microglia	#CC79A7	TRUE	1	1	tier2_localized_or_unstable	6	6	0	1	1	0.16666666666666666	1	Mic P2RY12	1	M_e4	1	AD_down_mito	23.77	23.77	8.0398259661827127e-06	0.010891284242188848	1.9629209075342224	1.9629209075342224	8.0398259661827127e-06	0.010891284242188848	2	1	0.5	0.5	1	TRUE	14	14	100	100	0.0099009900990099011	2.0043213737826426	FALSE	TRUE	FALSE	FALSE
phase18_case3_evidence_atlas_v1_gene_network_details_v1	case3_not_core_mito	1	RPL11	6	Oligodendrocytes	Oligodendrocytes	#F0E442	TRUE	1	1	tier_not_assessable	2	2	0	1	1	0.5	1	Oli	1	M_e2	1	AD_down_mito	28.460000000000001	28.460000000000001	1.8158810685601265e-05	0.028297479985061973	1.5482522385856847	1.5482522385856847	1.8158810685601265e-05	0.028297479985061973	0	NA	NA	NA	NA	FALSE	11	11	100	100	0.0099009900990099011	2.0043213737826426	FALSE	TRUE	FALSE	FALSE
phase18_case3_evidence_atlas_v1_gene_network_details_v1	case3_not_core_mito	2	RPS15	2	Excitatory_neurons	Excitatory neurons	#E69F00	FALSE	NA	20	tier1_recurrent_stable	97	97	0	1	10	0.10309278350515463	8	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 NP|Exc L6 THEMIS NFIA	3	F_e2|F_e33|M_e2	2	AD_down_mito|AD_up_mito	7.3599999999999994	14.56	0.00014284412022942872	0.029378274060519176	1.5319737220927416	1.5319737220927416	0.00014284412022942872	0.029378274060519176	14	1	0.9285714285714286	0.9285714285714286	21	TRUE	8	9	100	100	0.019801980198019802	1.7032913781186614	FALSE	TRUE	FALSE	FALSE
phase18_case3_evidence_atlas_v1_gene_network_details_v1	case3_not_core_mito	2	RPS15	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	1	1	tier1_recurrent_stable	28	28	0	1	11	0.39285714285714285	7	Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1|Inh RYR3 TSHZ2|Inh VIP CLSTN2	4	F_e2|F_e4|M_e2|M_e4	2	AD_down_mito|AD_up_mito	14.33	39.729999999999997	1.285122422488673e-06	0.0011009215419319632	2.9582436302745085	2.9582436302745085	1.285122422488673e-06	0.0011009215419319632	12	1	1	1	1	TRUE	17	18	100	100	0.0099009900990099011	2.0043213737826426	FALSE	TRUE	FALSE	FALSE
phase18_case3_evidence_atlas_v1_gene_network_details_v1	case3_not_core_mito	2	RPS15	5	OPCs	OPCs	#56B4E9	TRUE	1	1	tier_not_assessable	6	6	0	1	2	0.33333333333333331	1	OPC	2	F_e33|M_e2	2	AD_down_mito|AD_up_mito	16.059999999999999	19.059999999999999	5.8642521834998907e-16	4.0692045901305744e-12	11.390490474282601	11.390490474282601	5.8642521834998907e-16	4.0692045901305744e-12	0	NA	NA	NA	NA	FALSE	28	28	100	100	0.0099009900990099011	2.0043213737826426	FALSE	TRUE	FALSE	FALSE
phase18_case3_evidence_atlas_v1_gene_network_details_v1	case3_not_core_mito	3	LAMTOR5	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	4	4	tier1_recurrent_stable	97	93	4	0.95876288659793818	12	0.12903225806451613	8	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	3	F_e2|F_e4|M_e2	2	AD_down_mito|AD_up_mito	18.125	35.920000000000002	4.0829878269799868e-06	0.0021942274200684965	2.6587183621021042	2.6587183621021042	4.2586008177646582e-06	0.0023184323863771716	14	1	1	1	9	TRUE	9	10	100	100	0.019801980198019802	1.7032913781186614	FALSE	TRUE	FALSE	FALSE
phase18_case3_evidence_atlas_v1_gene_network_details_v1	case3_not_core_mito	3	LAMTOR5	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	2	2	tier1_recurrent_stable	28	26	2	0.9285714285714286	5	0.19230769230769232	5	Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh VIP CLSTN2	2	F_e4|M_e2	1	AD_down_mito	14.5	30.670000000000002	5.1814660661398949e-06	0.0036317366699944171	2.4398856488388247	2.4398856488388247	5.5800472978889965e-06	0.0039111058787931058	12	1	1	1	4	TRUE	9	10	100	100	0.0099009900990099011	2.0043213737826426	FALSE	TRUE	FALSE	FALSE
phase18_case3_evidence_atlas_v1_gene_network_details_v1	case3_not_core_mito	4	RPLP1	1	Astrocytes	Astrocytes	#009E73	TRUE	2	2	tier1_recurrent_stable	21	21	0	1	3	0.14285714285714285	2	Ast CHI3L1|Ast GRM3	3	F_e2|M_e2|M_e4	2	AD_down_mito|AD_up_mito	22.969999999999999	27.48	2.4594995685497456e-06	0.0019064196030721217	2.7197815049344287	2.7197815049344287	2.4594995685497456e-06	0.0019064196030721217	3	1	0.66666666666666663	0.66666666666666663	2	TRUE	8	9	100	100	0.0099009900990099011	2.0043213737826426	FALSE	TRUE	FALSE	FALSE
