schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	tile_status	passing_context	circle_displayed	within_case_rank	aggregate_acat_q	negative_log10_aggregate_acat_q	capped_negative_log10_aggregate_acat_q	extended_reference_member	passing_broad_network_count	unique_supporting_fine_cell_type_count	eligible_query_count	usable_query_count	query_coverage_fraction	conservative_supporting_query_count	query_recurrence_fraction	supporting_group_count	supporting_direction_count
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	circle_displayed	TRUE	TRUE	1	2.20464892603558e-05	4.6566605588603878	4.6566605588603878	FALSE	4	15	126	125	0.99206349206349209	25	0.20000000000000001	6	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	1	RPL11	2	Excitatory_neurons	Excitatory neurons	#E69F00	circle_displayed	TRUE	TRUE	1	2.0062748949198854e-09	8.6976095612620163	8.6976095612620163	FALSE	4	15	126	125	0.99206349206349209	25	0.20000000000000001	6	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	1	RPL11	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE	4	15	126	125	0.99206349206349209	25	0.20000000000000001	6	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	1	RPL11	4	Microglia	Microglia	#CC79A7	circle_displayed	TRUE	TRUE	1	0.010891284242188848	1.9629209075342224	1.9629209075342224	FALSE	4	15	126	125	0.99206349206349209	25	0.20000000000000001	6	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	1	RPL11	5	OPCs	OPCs	#56B4E9	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE	4	15	126	125	0.99206349206349209	25	0.20000000000000001	6	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	1	RPL11	6	Oligodendrocytes	Oligodendrocytes	#F0E442	circle_displayed	TRUE	TRUE	1	0.028297479985061973	1.5482522385856847	1.5482522385856847	FALSE	4	15	126	125	0.99206349206349209	25	0.20000000000000001	6	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	1	RPL11	7	Vasculature_cells	Vasculature	#D55E00	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE	4	15	126	125	0.99206349206349209	25	0.20000000000000001	6	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	2	RPS15	1	Astrocytes	Astrocytes	#009E73	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE	3	16	131	131	1	23	0.17557251908396945	5	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	2	RPS15	2	Excitatory_neurons	Excitatory neurons	#E69F00	passing_not_circle_displayed	TRUE	FALSE	20	0.029378274060519176	1.5319737220927416	1.5319737220927416	FALSE	3	16	131	131	1	23	0.17557251908396945	5	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	2	RPS15	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	circle_displayed	TRUE	TRUE	1	0.0011009215419319632	2.9582436302745085	2.9582436302745085	FALSE	3	16	131	131	1	23	0.17557251908396945	5	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	2	RPS15	4	Microglia	Microglia	#CC79A7	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE	3	16	131	131	1	23	0.17557251908396945	5	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	2	RPS15	5	OPCs	OPCs	#56B4E9	circle_displayed	TRUE	TRUE	1	4.0692045901305744e-12	11.390490474282601	11.390490474282601	FALSE	3	16	131	131	1	23	0.17557251908396945	5	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	2	RPS15	6	Oligodendrocytes	Oligodendrocytes	#F0E442	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE	3	16	131	131	1	23	0.17557251908396945	5	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	2	RPS15	7	Vasculature_cells	Vasculature	#D55E00	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE	3	16	131	131	1	23	0.17557251908396945	5	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	3	LAMTOR5	1	Astrocytes	Astrocytes	#009E73	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE	2	13	125	119	0.95199999999999996	17	0.14285714285714285	3	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	3	LAMTOR5	2	Excitatory_neurons	Excitatory neurons	#E69F00	circle_displayed	TRUE	TRUE	4	0.0021942274200684965	2.6587183621021042	2.6587183621021042	FALSE	2	13	125	119	0.95199999999999996	17	0.14285714285714285	3	2
phase18_case3_evidence_atlas_v1_plot_data_v1	phase18_case3_evidence_atlas	case3_not_core_mito	3	LAMTOR5	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	circle_displayed	TRUE	TRUE	2	0.0036317366699944171	2.4398856488388247	2.4398856488388247	FALSE	2	13	125	119	0.95199999999999996	17	0.14285714285714285	3	2
